query_id,doc_id,method,llm_calls,total_tokens,latency_seconds,estimated_cost_usd
doc001_q01,doc001,dat_full,11,9070,6.895,0.003432
doc001_q01,doc001,flat_rag,2,5255,2.001,0.001013
doc001_q01,doc001,section_rag,4,7334,3.245,0.001477
doc001_q01,doc001,long_context,2,17274,4.04,0.002221
doc001_q01,doc001,dat_no_expansion,9,9060,3.953,0.001322
doc001_q01,doc001,dat_parent_only,8,9216,3.965,0.002172
doc001_q01,doc001,dat_no_self_scoring,7,8705,2.67,0.002241
doc001_q02,doc001,dat_full,12,10513,5.235,0.002255
doc001_q02,doc001,flat_rag,2,6503,2.185,0.00103
doc001_q02,doc001,section_rag,3,7431,2.776,0.001466
doc001_q02,doc001,long_context,2,14776,4.065,0.002724
doc001_q02,doc001,dat_no_expansion,8,7177,4.697,0.001814
doc001_q02,doc001,dat_parent_only,7,10174,4.458,0.001506
doc001_q02,doc001,dat_no_self_scoring,7,7853,2.586,0.001679
doc001_q03,doc001,dat_full,11,11487,2.836,0.002941
doc001_q03,doc001,flat_rag,2,6192,2.777,0.000767
doc001_q03,doc001,section_rag,3,7328,3.32,0.001828
doc001_q03,doc001,long_context,1,11796,3.346,0.00254
doc001_q03,doc001,dat_no_expansion,7,9358,4.929,0.002511
doc001_q03,doc001,dat_parent_only,7,10735,3.13,0.001327
doc001_q03,doc001,dat_no_self_scoring,7,8914,2.666,0.001404
doc001_q04,doc001,dat_full,12,9446,4.354,0.004089
doc001_q04,doc001,flat_rag,2,4850,1.997,0.000902
doc001_q04,doc001,section_rag,4,7828,3.946,0.001196
doc001_q04,doc001,long_context,2,11676,3.988,0.002282
doc001_q04,doc001,dat_no_expansion,7,9336,4.895,0.002782
doc001_q04,doc001,dat_parent_only,7,10926,4.323,0.002116
doc001_q04,doc001,dat_no_self_scoring,6,9016,3.08,0.001986
doc001_q05,doc001,dat_full,9,12328,4.835,0.002752
doc001_q05,doc001,flat_rag,2,5449,1.705,0.001017
doc001_q05,doc001,section_rag,4,6785,3.125,0.0016
doc001_q05,doc001,long_context,2,11808,4.104,0.003347
doc001_q05,doc001,dat_no_expansion,8,9969,4.564,0.001583
doc001_q05,doc001,dat_parent_only,6,7212,3.136,0.001807
doc001_q05,doc001,dat_no_self_scoring,5,8909,3.391,0.002142
doc001_q06,doc001,dat_full,13,14886,7.393,0.003568
doc001_q06,doc001,flat_rag,2,5779,2.193,0.001252
doc001_q06,doc001,section_rag,3,6528,2.765,0.00196
doc001_q06,doc001,long_context,2,12851,3.425,0.002837
doc001_q06,doc001,dat_no_expansion,9,9191,4.154,0.00188
