query_id,doc_id,method,hit_at_1,hit_at_3,mrr,recall,precision
doc001_q01,doc001,dat_full,0,1,0.8016,0.6628,0.4963
doc001_q01,doc001,flat_rag,1,1,0.4997,0.5818,0.4294
doc001_q01,doc001,section_rag,1,1,0.5596,0.5886,0.592
doc001_q01,doc001,long_context,,,,,
doc001_q01,doc001,dat_no_expansion,1,1,0.69,0.6644,0.4109
doc001_q01,doc001,dat_parent_only,1,1,0.8527,0.6153,0.6061
doc001_q01,doc001,dat_no_self_scoring,0,1,0.5618,0.6251,0.3804
doc001_q02,doc001,dat_full,1,1,0.7078,0.9613,0.513
doc001_q02,doc001,flat_rag,1,1,0.5319,0.5496,0.5939
doc001_q02,doc001,section_rag,1,1,0.889,0.5937,0.5625
doc001_q02,doc001,long_context,,,,,
doc001_q02,doc001,dat_no_expansion,1,1,0.5454,0.8309,0.5543
doc001_q02,doc001,dat_parent_only,1,1,0.5604,0.9083,0.3447
doc001_q02,doc001,dat_no_self_scoring,1,1,0.6709,0.7716,0.5042
doc001_q03,doc001,dat_full,1,1,0.9808,0.7255,0.6342
doc001_q03,doc001,flat_rag,1,1,0.4827,0.5805,0.3448
doc001_q03,doc001,section_rag,0,1,0.6384,0.8029,0.8582
doc001_q03,doc001,long_context,,,,,
doc001_q03,doc001,dat_no_expansion,1,1,0.7206,0.9171,0.5029
doc001_q03,doc001,dat_parent_only,1,1,0.658,0.6917,0.5357
doc001_q03,doc001,dat_no_self_scoring,1,1,0.5908,0.6451,0.7605
doc001_q04,doc001,dat_full,1,1,0.7387,0.743,0.6346
doc001_q04,doc001,flat_rag,1,1,0.5363,0.7929,0.6146
doc001_q04,doc001,section_rag,1,1,0.454,0.6983,0.7384
doc001_q04,doc001,long_context,,,,,
doc001_q04,doc001,dat_no_expansion,1,1,0.8119,0.9147,0.6999
doc001_q04,doc001,dat_parent_only,0,1,0.7108,0.6574,0.6758
doc001_q04,doc001,dat_no_self_scoring,1,1,0.6516,0.7477,0.7692
doc001_q05,doc001,dat_full,1,1,0.7221,0.6857,0.4689
doc001_q05,doc001,flat_rag,1,1,0.4377,0.3005,0.631
doc001_q05,doc001,section_rag,0,1,0.719,0.6033,0.6134
doc001_q05,doc001,long_context,,,,,
doc001_q05,doc001,dat_no_expansion,1,1,0.5325,0.4039,0.7788
doc001_q05,doc001,dat_parent_only,1,1,0.8614,0.657,0.6722
doc001_q05,doc001,dat_no_self_scoring,0,0,0.6598,0.7073,0.4321
doc001_q06,doc001,dat_full,0,1,0.3942,0.7154,0.8028
doc001_q06,doc001,flat_rag,0,1,0.5007,0.4198,0.4834
doc001_q06,doc001,section_rag,1,1,0.5351,0.5873,0.5567
doc001_q06,doc001,long_context,,,,,
doc001_q06,doc001,dat_no_expansion,1,1,0.8482,0.6125,0.7778
doc001_q06,doc001,dat_parent_only,0,1,0.8304,0.9913,0.3743
doc001_q06,doc001,dat_no_self_scoring,0,1,0.5718,0.7094,0.5526
doc001_q07,doc001,dat_full,1,1,0.6454,0.8683,0.5463
doc001_q07,doc001,flat_rag,1,1,0.5971,0.5835,0.5978
doc001_q07,doc001,section_rag,0,1,0.603,0.6836,0.5527
doc001_q07,doc001,long_context,,,,,
doc001_q07,doc001,dat_no_expansion,1,1,0.4529,0.8028,0.2281
doc001_q07,doc001,dat_parent_only,0,1,0.426,0.5247,0.5462
doc001_q07,doc001,dat_no_self_scoring,1,1,0.5022,0.6446,0.5089
doc001_q08,doc001,dat_full,1,1,0.7546,0.5576,0.3201
doc001_q08,doc001,flat_rag,0,1,0.5634,0.4965,0.6129
doc001_q08,doc001,section_rag,1,1,0.9446,0.7476,0.5173
doc001_q08,doc001,long_context,,,,,
doc001_q08,doc001,dat_no_expansion,0,1,0.8094,0.8598,0.4841
doc001_q08,doc001,dat_parent_only,0,1,0.7973,0.6666,0.9853
doc001_q08,doc001,dat_no_self_scoring,1,1,0.7281,0.6159,0.4032
doc001_q09,doc001,dat_full,1,1,0.9616,0.6577,0.2968
doc001_q09,doc001,flat_rag,0,1,0.3356,0.7029,0.4742
doc001_q09,doc001,section_rag,0,1,0.6608,0.5626,0.6174
doc001_q09,doc001,long_context,,,,,
doc001_q09,doc001,dat_no_expansion,1,1,0.8361,0.7348,0.5105
doc001_q09,doc001,dat_parent_only,0,0,0.7494,0.8444,0.8056
doc001_q09,doc001,dat_no_self_scoring,1,1,0.463,0.8212,0.5835
doc001_q10,doc001,dat_full,1,1,0.7964,0.8509,0.7555
doc001_q10,doc001,flat_rag,1,1,0.614,0.6017,0.4428
doc001_q10,doc001,section_rag,0,1,0.4112,0.9061,0.6575
doc001_q10,doc001,long_context,,,,,
doc001_q10,doc001,dat_no_expansion,1,1,0.6252,0.8052,0.5602
doc001_q10,doc001,dat_parent_only,0,1,0.7987,0.5765,0.6088
doc001_q10,doc001,dat_no_self_scoring,0,1,0.5941,0.8623,0.712
doc002_q01,doc002,dat_full,1,1,0.6192,0.9289,0.5798
doc002_q01,doc002,flat_rag,0,1,0.6316,0.6775,0.6905
doc002_q01,doc002,section_rag,0,1,0.4873,0.8111,0.7625
doc002_q01,doc002,long_context,,,,,
doc002_q01,doc002,dat_no_expansion,1,1,0.4844,0.8443,0.6507
doc002_q01,doc002,dat_parent_only,1,1,0.4886,0.4863,0.5184
doc002_q01,doc002,dat_no_self_scoring,1,1,0.4662,0.6409,0.4886
doc002_q02,doc002,dat_full,1,1,0.7305,0.4141,0.659
doc002_q02,doc002,flat_rag,0,0,0.3627,0.4977,0.6416
doc002_q02,doc002,section_rag,1,1,0.6151,0.599,0.3349
doc002_q02,doc002,long_context,,,,,
doc002_q02,doc002,dat_no_expansion,0,1,0.9164,0.9741,0.5857
doc002_q02,doc002,dat_parent_only,0,1,0.7237,0.772,0.7435
doc002_q02,doc002,dat_no_self_scoring,1,1,0.5231,0.6469,0.5652
doc002_q03,doc002,dat_full,0,1,0.5885,0.8405,0.54
doc002_q03,doc002,flat_rag,1,1,0.5845,0.4133,0.9957
doc002_q03,doc002,section_rag,0,0,0.5843,0.7943,0.9734
doc002_q03,doc002,long_context,,,,,
doc002_q03,doc002,dat_no_expansion,0,1,0.3221,0.8507,0.4104
doc002_q03,doc002,dat_parent_only,0,1,0.4498,0.6086,0.492
doc002_q03,doc002,dat_no_self_scoring,0,1,0.6366,0.7283,0.7696
doc002_q04,doc002,dat_full,1,1,0.4987,0.8967,0.6802
doc002_q04,doc002,flat_rag,0,1,0.604,0.6674,0.8058
doc002_q04,doc002,section_rag,1,1,0.5769,0.7797,0.7436
doc002_q04,doc002,long_context,,,,,
doc002_q04,doc002,dat_no_expansion,1,1,0.5967,0.9253,0.3895
doc002_q04,doc002,dat_parent_only,1,1,0.7738,0.5287,0.585
doc002_q04,doc002,dat_no_self_scoring,1,1,0.3354,0.779,0.4142
doc002_q05,doc002,dat_full,0,1,0.6653,0.952,0.4216
doc002_q05,doc002,flat_rag,1,1,0.6568,0.8502,0.5736
doc002_q05,doc002,section_rag,0,1,0.901,0.697,0.3421
doc002_q05,doc002,long_context,,,,,
doc002_q05,doc002,dat_no_expansion,1,1,0.7749,0.8806,0.5118
doc002_q05,doc002,dat_parent_only,0,1,0.8692,0.6726,0.5396
doc002_q05,doc002,dat_no_self_scoring,1,1,0.5228,0.6353,0.6426
doc002_q06,doc002,dat_full,1,1,0.6905,1,0.6793
doc002_q06,doc002,flat_rag,1,1,0.5349,0.5462,0.229
doc002_q06,doc002,section_rag,0,1,0.7259,0.5985,0.3482
doc002_q06,doc002,long_context,,,,,
doc002_q06,doc002,dat_no_expansion,1,1,0.486,0.6084,0.6184
doc002_q06,doc002,dat_parent_only,1,1,0.9762,0.4992,0.3802
doc002_q06,doc002,dat_no_self_scoring,0,0,0.5216,0.7769,0.5085
doc002_q07,doc002,dat_full,1,1,0.7633,0.7429,0.3497
doc002_q07,doc002,flat_rag,1,1,0.5891,0.6049,0.6184
doc002_q07,doc002,section_rag,0,1,0.4876,0.7701,0.6124
doc002_q07,doc002,long_context,,,,,
doc002_q07,doc002,dat_no_expansion,0,1,0.5609,0.5894,0.6159
doc002_q07,doc002,dat_parent_only,1,1,0.8398,0.5862,0.5781
doc002_q07,doc002,dat_no_self_scoring,1,1,0.4646,0.6455,0.626
doc002_q08,doc002,dat_full,1,1,0.6056,0.8903,0.7563
doc002_q08,doc002,flat_rag,1,1,0.6705,0.4342,0.3929
doc002_q08,doc002,section_rag,1,1,0.8676,0.4804,0.7633
doc002_q08,doc002,long_context,,,,,
doc002_q08,doc002,dat_no_expansion,1,1,0.6127,0.6772,0.4567
doc002_q08,doc002,dat_parent_only,1,1,0.8149,0.6916,0.7916
doc002_q08,doc002,dat_no_self_scoring,1,1,0.984,0.786,0.6699
