doc_id,doc_type,expected_type,predicted_type,type_correct,expected_nodes,generated_nodes,node_count_error,section_name_coverage,text_coverage,granularity_error
doc001,textbook,book,book,True,5,5,0,0.898,0.948,none
doc002,scientific_paper,paper,paper,True,8,9,1,0.853,0.969,none
doc003,administrative,administrative,report,False,6,9,3,0.777,0.818,over_segmentation
doc004,scientific_paper,paper,paper,True,8,8,0,0.814,0.97,none
doc005,scientific_paper,paper,paper,True,7,8,1,0.89,0.958,none
doc006,scientific_paper,paper,paper,True,8,9,1,0.913,0.931,none
doc007,administrative,administrative,administrative,True,6,10,4,0.562,0.879,over_segmentation
doc008,administrative,administrative,report,False,6,8,2,0.704,0.937,none
doc009,report,report,report,True,6,7,1,0.686,0.941,none
doc010,regulation,regulation,administrative,False,8,13,5,0.714,0.856,over_segmentation
doc011,report,report,report,True,9,10,1,0.876,0.943,none
doc012,report,report,report,True,8,9,1,0.841,0.927,none
doc013,manual,manual,manual,True,8,11,3,0.792,0.856,over_segmentation
doc014,manual,manual,book,False,9,10,1,0.867,0.934,none
doc015,report,report,report,True,4,5,1,0.912,0.961,none
